job_name,salary,company_name,company_number,company_location,exprience,education
Android,12-24K,北京博睿宏远,100-499人,深圳 南山区 科技园,3-5年,本科
Android,11-16K,深圳市融易科技有...,100-499人,深圳,3-5年,大专
Android研发,18-35K,华为技术有限公司,10000人以上,深圳 龙岗区 坂田,3-5年,本科
Android,10-20K,中软国际,10000人以上,深圳 龙岗区 坂田,1-3年,本科
Android工程师,15-20K,驰纳(深圳)物联网,20-99人,深圳 龙岗区 龙岗中心城,3-5年,本科
Android驱动工程师（深圳）,15-30K,OPPO,10000人以上,深圳 南山区 蛇口,5-10年,本科
Android,15-25K,瑞丰时代,20-99人,深圳 南山区 西丽,3-5年,本科
Android工程师,10-18K,拓保软件,1000-9999人,深圳 南山区 科技园,3-5年,本科
安卓驱动工程师,20-40K,vivo,10000人以上,深圳 福田区 梅林,3-5年,本科
Android,15-25K,有方科技,500-999人,深圳 龙华区 龙华,3-5年,本科
Android,30-50K,腾讯,10000人以上,深圳 南山区 科技园,5-10年,本科
安卓,10-11K,致力达成科技有限公司,100-499人,深圳 南山区 科技园,1-3年,本科
Android,18-35K,软通动力,10000人以上,深圳 龙岗区 坂田,5-10年,本科
Android系统架构师（安全方向）,20-40K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
安卓研发工程师,15-30K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
Android开发,12-18K,法本,1000-9999人,深圳 南山区 科技园,3-5年,本科
安卓工程师,11-18K,顺势腾辉科技,100-499人,深圳 南山区 科技园,3-5年,大专
Android研发工程师,15-30K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
Android测试专家,20-40K,OPPO广东移动...,10000人以上,深圳 南山区 深圳湾,5-10年,本科
Android软件工程师,12-20K,三诺数字科技,1000-9999人,深圳,3-5年,本科
Android,12-20K,深圳万机,100-499人,深圳 宝安区 西乡,3-5年,本科
Android开发,12-24K,中软国际,10000人以上,深圳 龙岗区 坂田,经验不限,本科
安卓开发,12-24K,软通动力,10000人以上,深圳 龙岗区 坂田,3-5年,本科
安卓应用开发,10-20K,百富计算机,1000-9999人,深圳 南山区 科技园,1-3年,本科
Android 工程师,12-18K,健康160,500-999人,深圳 南山区 前海,1-3年,本科
安卓测试工程师,14-28K,TCL通讯,1000-9999人,深圳 南山区 新安,3-5年,本科
android工程师,6-8K,makena,500-999人,深圳 宝安区 西乡,应届生,本科
Android开发工程师,12-24K·13薪,IBM,10000人以上,深圳 龙岗区 坂田,3-5年,本科
Android,8-12K,巨安科技,0-20人,深圳 福田区 石厦,1-3年,大专
android工程师,7-12K,佳思德科技有限公司,100-499人,深圳 南山区 南头,1-3年,本科
